year,month,payment_system,volume,value,unit,note
2025,May,Mobile,17323.89,3641731.78,"volume in million, value in rupees crore",
2025,May,NEFT,821.55,3793102.92,"volume in million, value in rupees crore",
2025,May,RTGS,27.35,15219872.71,"volume in million, value in rupees crore",
2025,May,UPI,18677.46,2514297.01,"volume in million, value in rupees crore",
2025,April,BHIM,59.31,10688.1,"volume in million, value in rupees crore",
2025,April,Bharat Bill Pay,242.54,110732.13,"volume in million, value in rupees crore",
2025,April,IMPS,449.25,621666.39,"volume in million, value in rupees crore",
2025,April,Internet Banking,365.35,11633516.72,"volume in million, value in rupees crore",
2025,April,Mobile,16582.62,3504510.0,"volume in million, value in rupees crore",
2025,April,NEFT,768.75,3897347.9,"volume in million, value in rupees crore",
2025,April,RTGS,26.12,15060026.37,"volume in million, value in rupees crore",
2025,April,UPI,17893.42,2394925.87,"volume in million, value in rupees crore",
2025,March,BHIM,52.09,9856.48,"volume in million, value in rupees crore",
2025,March,Bharat Bill Pay,260.07,123655.94,"volume in million, value in rupees crore",
2025,March,IMPS,461.64,667812.82,"volume in million, value in rupees crore",
2025,March,Internet Banking,409.62,13992340.25,"volume in million, value in rupees crore",
2025,March,Mobile,17117.42,3769671.5,"volume in million, value in rupees crore",
2025,March,NEFT,900.9,4854308.48,"volume in million, value in rupees crore",
2025,March,RTGS,30.57,19394682.6,"volume in million, value in rupees crore",
2025,March,UPI,18301.51,2477221.61,"volume in million, value in rupees crore",
2025,February,BHIM,42.36,8731.1,"volume in million, value in rupees crore",
2025,February,Bharat Bill Pay,234.06,103215.52,"volume in million, value in rupees crore",
2025,February,IMPS,404.83,563081.64,"volume in million, value in rupees crore",
2025,February,Internet Banking,363.58,10339283.69,"volume in million, value in rupees crore",
2025,February,Mobile,15003.15,3215517.21,"volume in million, value in rupees crore",
2025,February,NEFT,764.79,3540103.38,"volume in million, value in rupees crore",
2025,February,RTGS,24.3,14226026.94,"volume in million, value in rupees crore",
2025,February,UPI,16106.19,2196481.69,"volume in million, value in rupees crore",
2025,January,BHIM,38.97,9604.24,"volume in million, value in rupees crore",
2025,January,Bharat Bill Pay,246.52,110886.44,"volume in million, value in rupees crore",
2025,January,IMPS,444.22,606420.2,"volume in million, value in rupees crore",
2025,January,Internet Banking,416.7,11639720.76,"volume in million, value in rupees crore",
2025,January,Mobile,15879.48,3451865.41,"volume in million, value in rupees crore",
2025,January,NEFT,856.79,3848032.95,"volume in million, value in rupees crore",
2025,January,RTGS,26.69,15571747.79,"volume in million, value in rupees crore",
2025,January,UPI,16996.0,2348037.12,"volume in million, value in rupees crore",
2024,December,BHIM,33.67,9401.22,"volume in million, value in rupees crore",
2024,December,Bharat Bill Pay,244.91,107959.5,"volume in million, value in rupees crore",
2024,December,IMPS,441.16,601549.16,"volume in million, value in rupees crore",
2024,December,Internet Banking,407.27,12203094.9,"volume in million, value in rupees crore",
2024,December,Mobile,15676.33,3455808.18,"volume in million, value in rupees crore",
2024,December,NEFT,0.01,3814965.98,"volume in million, value in rupees crore",
2024,December,RTGS,26.11,17161423.37,"volume in million, value in rupees crore",
2024,December,UPI,16730.01,2324699.91,"volume in million, value in rupees crore",
2024,November,BHIM,29.75,8407.2,"volume in million, value in rupees crore",
2024,November,Bharat Bill Pay,231.65,100999.13,"volume in million, value in rupees crore",
2024,November,IMPS,407.92,558327.6,"volume in million, value in rupees crore",
2024,November,Internet Banking,365.98,9925227.54,"volume in million, value in rupees crore",
2024,November,Mobile,14494.07,3215536.47,"volume in million, value in rupees crore",
2024,November,NEFT,0.01,3380883.69,"volume in million, value in rupees crore",
2024,November,RTGS,23.92,13504832.52,"volume in million, value in rupees crore",
2024,November,UPI,15482.02,2155187.4,"volume in million, value in rupees crore",
2024,October,BHIM,33.14,10386.36,"volume in million, value in rupees crore",
2024,October,Bharat Bill Pay,239.31,104693.97,"volume in million, value in rupees crore",
2024,October,IMPS,466.82,629381.51,"volume in million, value in rupees crore",
2024,October,Internet Banking,425.99,11281097.83,"volume in million, value in rupees crore",
2024,October,Mobile,15487.68,3532243.45,"volume in million, value in rupees crore",
2024,October,NEFT,0.01,4152427.74,"volume in million, value in rupees crore",
2024,October,RTGS,26.67,15418777.86,"volume in million, value in rupees crore",
2024,October,UPI,16584.97,2349821.46,"volume in million, value in rupees crore",
2024,September,BHIM,29.07,8656.17,"volume in million, value in rupees crore",
2024,September,Bharat Bill Pay,221.08,87187.36,"volume in million, value in rupees crore",
2024,September,IMPS,429.93,565232.68,"volume in million, value in rupees crore",
2024,September,Internet Banking,391.13,11251664.84,"volume in million, value in rupees crore",
2024,September,Mobile,14402.81,3157064.07,"volume in million, value in rupees crore",
2024,September,NEFT,0.01,3597884.88,"volume in million, value in rupees crore",
2024,September,RTGS,23.22,16027654.83,"volume in million, value in rupees crore",
2024,September,UPI,15041.75,2063994.71,"volume in million, value in rupees crore",
2024,August,BHIM,28.28,8529.04,"volume in million, value in rupees crore",
2024,August,Bharat Bill Pay,216.75,85976.37,"volume in million, value in rupees crore",
2024,August,IMPS,453.33,577887.89,"volume in million, value in rupees crore",
2024,August,Internet Banking,398.01,10547356.77,"volume in million, value in rupees crore",
2024,August,Mobile,14446.32,3182911.91,"volume in million, value in rupees crore",
2024,August,NEFT,0.01,3590587.89,"volume in million, value in rupees crore",
2024,August,RTGS,23.63,14385410.48,"volume in million, value in rupees crore",
2024,August,UPI,14963.05,2060735.57,"volume in million, value in rupees crore",
